x: -3.164500, z: 1.002500
x: -3.136889, z: 1.022111
x: -3.081667, z: 1.061333
x: -2.947333, z: 1.064667
x: -2.801778, z: 1.049667
x: -2.645000, z: 1.016333
x: -2.477000, z: 0.964667
x: -2.321667, z: 0.895556
x: -2.179000, z: 0.809000
x: -2.049000, z: 0.705000
x: -1.949556, z: 0.584444
x: -1.880667, z: 0.447333
x: -1.842333, z: 0.293667
x: -1.815778, z: 0.143444
x: -1.801000, z: -0.003333
x: -1.798000, z: -0.146667
x: -1.816333, z: -0.301111
x: -1.856000, z: -0.466667
x: -1.917000, z: -0.643333
x: -1.997889, z: -0.795222
x: -2.098667, z: -0.922333
x: -2.219333, z: -1.024667
x: -2.351111, z: -1.105667
x: -2.494000, z: -1.165333
x: -2.648000, z: -1.203667
x: -2.807222, z: -1.226778
x: -2.971667, z: -1.234667
x: -3.141333, z: -1.227333
x: -3.298222, z: -1.199778
x: -3.442333, z: -1.152000
x: -3.573667, z: -1.084000
x: -3.701222, z: -0.995222
x: -3.825000, z: -0.885667
x: -3.945000, z: -0.755333
x: -4.043889, z: -0.619889
x: -4.121667, z: -0.479333
x: -4.178333, z: -0.333667
x: -4.219556, z: -0.176778
x: -4.245333, z: -0.008667
x: -4.255667, z: 0.170667
x: -4.245222, z: 0.346222
x: -4.214000, z: 0.518000
x: -4.162000, z: 0.686000
x: -4.092250, z: 0.834583
x: -4.004750, z: 0.963750
x: -3.899500, z: 1.073500
x: -3.794250, z: 1.183250
x: -3.664750, z: 1.285250
x: -3.511000, z: 1.379500
x: -3.333000, z: 1.466000
x: -3.155000, z: 1.552500
x: -2.976000, z: 1.596900
x: -2.796000, z: 1.599200
x: -2.615000, z: 1.559400
x: -2.434000, z: 1.519600
x: -2.253000, z: 1.479800
x: -2.087133, z: 1.420933
x: -1.936400, z: 1.343000
x: -1.800800, z: 1.246000
x: -1.665200, z: 1.149000
x: -1.529600, z: 1.052000
x: -1.413067, z: 0.927200
x: -1.315600, z: 0.774600
x: -1.237200, z: 0.594200
x: -1.158800, z: 0.413800
x: -1.080400, z: 0.233400
x: -1.025562, z: 0.052895
x: -0.994286, z: -0.127714
x: -0.986571, z: -0.308429
x: -0.978857, z: -0.489143
x: -0.971143, z: -0.669857
x: -0.963429, z: -0.850571
x: -0.955714, z: -1.031286
x: -0.978071, z: -1.202817
x: -1.030500, z: -1.365167
x: -1.113000, z: -1.518333
x: -1.195500, z: -1.671500
x: -1.278000, z: -1.824667
x: -1.360500, z: -1.977833
x: -1.468100, z: -2.097411
x: -1.600800, z: -2.183400
x: -1.758600, z: -2.235800
x: -1.916400, z: -2.288200
x: -2.074200, z: -2.340600
x: -2.233067, z: -2.373333
x: -2.393000, z: -2.386400
x: -2.554000, z: -2.379800
x: -2.715000, z: -2.373200
x: -2.876000, z: -2.366600
x: -3.037833, z: -2.346478
x: -3.200500, z: -2.312833
x: -3.364000, z: -2.265667
x: -3.527500, z: -2.218500
x: -3.691000, z: -2.171333
x: -3.854500, z: -2.124167
x: -4.001750, z: -2.044139
x: -4.132750, z: -1.931250
x: -4.247500, z: -1.785500
x: -4.362250, z: -1.639750
x: -4.467283, z: -1.496583
x: -4.562600, z: -1.356000
x: -4.648200, z: -1.218000
x: -4.733800, z: -1.080000
x: -4.819400, z: -0.942000
x: -4.867467, z: -0.850667
x: -4.900000, z: -0.742083
x: -4.917000, z: -0.616250
x: -4.956000, z: -0.426500
x: -4.995000, z: -0.236750
x: -5.007250, z: -0.048167
x: -4.992750, z: 0.139250
x: -4.951500, z: 0.325500
x: -4.910250, z: 0.511750
x: -4.856083, z: 0.684000
x: -4.789000, z: 0.842250
x: -4.709000, z: 0.986500
x: -4.629000, z: 1.130750
x: -4.521000, z: 1.249717
x: -4.385000, z: 1.343400
x: -4.221000, z: 1.411800
x: -4.057000, z: 1.480200
x: -3.893000, z: 1.548600
x: -3.726500, z: 1.606700
x: -3.557500, z: 1.654500
x: -3.386000, z: 1.692000
x: -3.214500, z: 1.729500
x: -3.043000, z: 1.767000
x: -2.871500, z: 1.804500
x: -2.693300, z: 1.814300
x: -2.508400, z: 1.796400
x: -2.316800, z: 1.750800
x: -2.125200, z: 1.705200
x: -1.933600, z: 1.659600
x: -1.749343, z: 1.605105
x: -1.572429, z: 1.541714
x: -1.402857, z: 1.469429
x: -1.233286, z: 1.397143
x: -1.063714, z: 1.324857
x: -0.894143, z: 1.252571
x: -0.724571, z: 1.180286
x: -0.552476, z: 1.106619
x: -0.377857, z: 1.031571
x: -0.200714, z: 0.955143
x: -0.023571, z: 0.878714
